funcao_objetivo;problema;modelo;ordem_sol
1290.9999999999998;ID007_M015_J015;manne;1
1304;ID007_M015_J015;manne;2
1279.999999996;ID007_M015_J015;manne;3
1755;ID007_M015_J015;manne;4
1270.9999999999998;ID007_M015_J015;manne;5
1253;ID007_M015_J015;manne;6
1417.9999999999998;ID007_M015_J015;manne;7
1263;ID007_M015_J015;manne;8
1281;ID007_M015_J015;manne;9
1683;ID007_M015_J015;manne;10
1315.9999999999991;ID007_M015_J015;manne;11
1603;ID007_M015_J015;manne;12
1251;ID007_M015_J015;manne;13
1281;ID007_M015_J015;manne;14
1307.9999999840002;ID007_M015_J015;manne;15
1274.0000000000005;ID007_M015_J015;manne;16
1294.9999999999998;ID007_M015_J015;manne;17
1415.0000000000002;ID007_M015_J015;manne;18
1535.9999999999984;ID007_M015_J015;manne;19
8475;ID007_M015_J015;manne;20
1522.9999999999998;ID007_M015_J015;manne;21
1555.999999999;ID007_M015_J015;manne;22
1302;ID007_M015_J015;manne;23
1250.0000000000002;ID007_M015_J015;manne;24
1362.0000000000002;ID007_M015_J015;manne;25
1302;ID007_M015_J015;manne;26
8380;ID007_M015_J015;manne;27
1238.0000000000002;ID007_M015_J015;manne;28
1294.9999999999998;ID007_M015_J015;manne;29
1615;ID007_M015_J015;manne;30
1579;ID007_M015_J015;manne;31
1674;ID007_M015_J015;manne;32
1784.9999999719964;ID007_M015_J015;manne;33
1542;ID007_M015_J015;manne;34
1299;ID007_M015_J015;manne;35
1677.9999999999998;ID007_M015_J015;manne;36
1560.9999999999998;ID007_M015_J015;manne;37
1255.9999999940001;ID007_M015_J015;manne;38
1525.9999999999998;ID007_M015_J015;manne;39
1243;ID007_M015_J015;manne;40
1423;ID007_M015_J015;manne;41
1421.9999999999998;ID007_M015_J015;manne;42
1647;ID007_M015_J015;manne;43
1362.0000000000005;ID007_M015_J015;manne;44
1240.9999999930001;ID007_M015_J015;manne;45
1312.9999999880001;ID007_M015_J015;manne;46
1761;ID007_M015_J015;manne;47
1396;ID007_M015_J015;manne;48
1314.9999999909999;ID007_M015_J015;manne;49
1624;ID007_M015_J015;manne;50
